id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1,Bgdsg,Karnataka,kodagu,11.983889,75.947778,21.59,935.0,,approved,,
2,Bkdsg,Karnataka,kodagu,12.032500,75.901944,9.4,855.0,,approved,,
3,Brdsg,Karnataka,kodagu,12.094166,75.931389,1.3,812.0,,approved,,
4,Brlsg,Karnataka,kodagu,12.095833,75.908333,2.4,799.0,,approved,,
5,Btdsg,Karnataka,kodagu,12.190000,75.788611,12.1,879.0,,approved,,
6,Hgdsg,Karnataka,kodagu,12.144444,75.767778,2.4,917.0,,approved,,
7,Hglsge,Karnataka,kodagu,12.143055,75.768611,39.7,912.0,,approved,,
8,Hglsgw,Karnataka,kodagu,12.143055,75.768611,39.7,912.0,,approved,,
9,Htdsg,Karnataka,kodagu,12.125556,75.926667,8.9,822.0,,approved,,
10,Icdsg,Karnataka,kodagu,12.150000,75.908611,4.0,858.0,,approved,,
11,Kbdsg,Karnataka,kodagu,12.165278,75.860278,12.4,843.0,,approved,,
12,Kdpalm,Karnataka,kodagu,12.162222,75.901944,6.6,966.0,,approved,,
13,Ktdsg,Karnataka,kodagu,12.193055,75.767500,0.2,918.0,,approved,,
14,Kudsg,Karnataka,kodagu,12.102778,75.864722,3.7,860.0,,approved,,
15,Kuhdsg,Karnataka,kodagu,12.110556,75.868889,3.2,857.0,,approved,,
16,Kulsg,Karnataka,kodagu,12.107500,75.863889,1.4,847.0,,approved,,
17,Pldsg,Karnataka,kodagu,12.198055,75.924723,7.1,870.0,,approved,,
18,Pldsg,Karnataka,kodagu,12.186944,75.718056,2.1,930.0,,approved,,
19,Pllsge,Karnataka,kodagu,12.186666,75.715833,48.1,935.0,,approved,,
20,Pllsgw,Karnataka,kodagu,12.181945,75.715556,48.1,956.0,,approved,,
21,Topaji,Karnataka,kodagu,12.157778,75.712222,0.0,910.0,,approved,,
22,Tslsg,Karnataka,kodagu,12.040000,75.956111,14.0,820.0,,approved,,
23,Kabi Lungchuk,Sikkim,Kabi,27.398327,88.609328,300.0,1950.0,,approved,,
24,Chuba,Sikkim,Lachung RF,27.728766,88.754775,0.0,3010.0,,approved,,
25,"Norbugang, Yuksam, Coro",Sikkim,Yuksam,27.369911,88.216750,0.7,1793.0,,approved,,
26,Dubdi Monastery,Sikkim,Yuksam,27.368336,88.230820,0.7,1980.0,,approved,,
27,Enchey Monastery,Sikkim,Gangtok,27.337152,88.619256,1.62,1818.0,,approved,,
28,Khecheopalri Lake,Sikkim,Khecheopalri,27.349308,88.190158,0.0,1805.0,,approved,,
29,Labrang Monastery,Sikkim,Near Phodong Monastery,27.367850,88.568400,1.21,1917.0,,approved,,
